timestamp,batch_guid,database,model,total_requests,mean_latency_ms,test_duration_config,energy_j,mean_power_w,mean_cpu_percent,mean_memory_gb
20251021-135704,413350FB-CA87-4C62-A286-F310DEC156EC,credit_card_transactions,lgbm,15000,273.658249,52.24,2265.405945,43.365941,92.667166,20.564864
20251021-135802,413350FB-CA87-4C62-A286-F310DEC156EC,credit_card_transactions,lgbm,15000,278.940574,53.07,2313.57489,43.595337,92.431119,20.560178
20251021-135901,413350FB-CA87-4C62-A286-F310DEC156EC,credit_card_transactions,lgbm,15000,277.624584,52.66,2309.731018,43.864603,92.826216,20.563202
20251021-140000,413350FB-CA87-4C62-A286-F310DEC156EC,credit_card_transactions,lgbm,15000,198.015899,68.23,2392.092651,35.057108,58.705035,20.546425
20251021-140114,413350FB-CA87-4C62-A286-F310DEC156EC,credit_card_transactions,lgbm,15000,217.43656,43.83,1903.715027,43.434535,92.896329,20.541674
20251021-140203,413350FB-CA87-4C62-A286-F310DEC156EC,credit_card_transactions,lgbm,15000,185.134174,39.03,1664.640625,42.650704,91.179868,20.543576
20251021-140248,413350FB-CA87-4C62-A286-F310DEC156EC,credit_card_transactions,lgbm,15000,269.341888,68.44,2481.765198,36.261683,69.554967,20.557347
20251021-140515,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,270.842298,51.43,2235.772949,43.472116,93.838751,20.56683
20251021-140612,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,291.547344,54.44,2371.28186,43.558969,93.904587,20.566268
20251021-140712,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,279.144337,52.62,2288.960876,43.496028,93.16752,20.571077
20251021-140810,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,279.604082,52.64,2295.197083,43.601288,93.410372,20.568403
20251021-140909,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,196.632933,40.21,1728.955994,42.993086,92.88844,20.533491
20251021-140955,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,253.866329,48.84,2117.410339,43.356905,94.057894,20.551668
20251021-141049,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,289.887514,61.24,2474.927612,40.414759,82.822505,20.565264
20251021-141156,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,289.351364,54.06,2357.430603,43.605903,94.049449,20.571899
20251021-141256,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,296.630165,61.23,2495.759705,40.759698,84.389482,20.566366
20251021-141403,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,289.418335,54.03,2358.088074,43.640101,93.753234,20.569251
20251021-141503,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,299.928268,55.66,2439.23584,43.826485,93.865547,20.568873
20251021-141604,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,306.527285,56.65,2476.605347,43.715143,94.704224,20.570382
20251021-141706,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,244.323798,47.62,2066.878967,43.405854,93.867502,20.553333
20251021-141800,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,203.745378,41.42,1769.86377,42.734292,92.117841,20.537976
20251021-141847,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,283.770735,53.44,2325.248169,43.513183,93.062777,20.575883
20251021-141946,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,301.248659,56.25,2459.316345,43.717687,93.567759,20.572331
20251021-142048,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,300.072694,61.27,2517.251038,41.083438,85.240858,20.5739
20251021-142155,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,297.805631,55.23,2427.605469,43.954241,94.143255,20.577679
20251021-142256,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,299.915208,55.45,2442.494995,44.045238,94.344427,20.576791
20251021-142357,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,240.18543,61.25,2373.577515,38.750852,73.728478,20.572942
20251021-142504,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,205.060864,41.62,1796.956238,43.177723,93.540483,20.552104
20251021-142551,1CF7E874-62E4-47AD-B104-532AF9B1B967,diabetic,lgbm,15000,236.355444,46.03,2002.765198,43.508538,94.710916,20.560965
20251021-143116,687C9203-B653-4311-BAA0-CA3CFF5EBF22,diabetic,lgbm,15000,296.250384,55.05,2389.231995,43.398923,93.846902,20.584614
20251021-143216,687C9203-B653-4311-BAA0-CA3CFF5EBF22,diabetic,lgbm,15000,291.920949,61.28,2473.671448,40.367248,83.29392,20.582608
20251021-143323,687C9203-B653-4311-BAA0-CA3CFF5EBF22,diabetic,lgbm,15000,288.685833,53.82,2355.308472,43.761776,93.681406,20.587883
20251021-143423,687C9203-B653-4311-BAA0-CA3CFF5EBF22,diabetic,lgbm,15000,289.679112,54.04,2367.862915,43.816153,93.703282,20.586788
20251021-143522,687C9203-B653-4311-BAA0-CA3CFF5EBF22,diabetic,lgbm,15000,303.685355,56.04,2459.30658,43.888215,93.997747,20.588101
20251021-143624,687C9203-B653-4311-BAA0-CA3CFF5EBF22,diabetic,lgbm,15000,305.549659,56.27,2481.006714,44.093131,94.414444,20.588255
20251021-143726,687C9203-B653-4311-BAA0-CA3CFF5EBF22,diabetic,lgbm,15000,223.551311,44.22,1920.077454,43.424534,93.615909,20.562746
20251021-143816,687C9203-B653-4311-BAA0-CA3CFF5EBF22,diabetic,lgbm,15000,243.82001,47.26,2062.628174,43.64339,94.242632,20.578113
20251021-144051,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,209.155177,42.22,1824.064026,43.19994,92.811914,20.570992
20251021-144139,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,221.105587,43.63,1901.436584,43.583927,94.259887,20.57515
20251021-144228,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,293.636794,54.62,2402.240173,43.980257,93.992219,20.595142
20251021-144329,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,301.768683,55.84,2452.931702,43.931017,93.400309,20.603156
20251021-144430,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,304.719367,56.26,2494.146362,44.333507,94.156361,20.603766
20251021-144532,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,291.957511,54.40,2406.726257,44.24352,93.712876,20.601348
20251021-144632,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,248.310922,48.22,2130.703125,44.188522,94.002263,20.588226
20251021-144726,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,189.792793,39.01,1676.226746,42.964094,92.733653,20.560056
20251021-144811,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,293.390004,54.45,2396.729919,44.018962,93.744966,20.595658
20251021-144911,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,294.855746,55.08,2416.757141,43.878991,93.169217,20.593157
20251021-145012,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,299.526687,55.44,2438.435486,43.983514,93.924129,20.591526
20251021-145113,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,300.486992,55.68,2455.314148,44.094998,94.13699,20.596293
20251021-145214,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,274.674841,52.03,2320.478149,44.601396,94.31754,20.594175
20251021-145312,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,183.72016,38.01,1624.29425,42.728326,92.38619,20.555083
20251021-145356,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,287.7641,53.68,2379.566101,44.329499,94.138575,20.594396
20251021-145455,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,295.940437,54.83,2425.600525,44.239856,94.142638,20.600777
20251021-145556,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,298.958683,55.23,2447.468445,44.312895,93.861143,20.596812
20251021-145657,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,301.297764,55.84,2474.308594,44.310266,93.97565,20.604555
20251021-145758,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,281.374795,52.84,2342.937683,44.344106,93.544101,20.607611
20251021-145857,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,198.407835,40.22,1718.086487,42.722359,92.675778,20.559903
20251021-145943,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,257.827459,49.43,2161.635254,43.729371,93.176464,20.60292
20251021-150038,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,297.657372,55.23,2437.900024,44.143564,93.812416,20.601627
20251021-150139,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,295.541159,54.84,2424.434204,44.210472,93.954982,20.609684
20251021-150239,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,304.664244,56.23,2482.859314,44.151994,94.088641,20.607595
20251021-150341,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,295.174285,54.66,2417.667847,44.23245,93.54289,20.611515
